##################################################;;;;;;;;;;;;;;x
trait0;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait1;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait2;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait3;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait4;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait5;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait6;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait7;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait8;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait9;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait10;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait11;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait12;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait13;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait14;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait15;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait16;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait17;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait18;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait19;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait20;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait21;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait22;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait23;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait24;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait25;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait26;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait27;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait28;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait29;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait30;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait31;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait32;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait33;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait34;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait35;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait36;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait37;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait38;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait39;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait40;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait41;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait42;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait43;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait44;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait45;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait46;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait47;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait48;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait49;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait50;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait51;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait52;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait53;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait54;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait55;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait56;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait57;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait58;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait59;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait60;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait61;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait62;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait63;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait64;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait65;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait66;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait67;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait68;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait69;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait70;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait71;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait72;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait73;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait74;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait75;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait76;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait77;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait78;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait79;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait80;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait81;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait82;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait83;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait84;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait85;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait86;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait87;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait88;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait89;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait90;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait91;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait92;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait93;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait94;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait95;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait96;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait97;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait98;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait99;§W+2 Att 0 Def;;;;;;;;;;;;;x
trait100;§W+2 Att 0 Def;;;;;;;;;;;;;x
